0.201778	0.385989	0	0	0.201778	0.385989	0.359997	0.600041	-4.80025	0.0016588
0.218589	0.679541	0.000838692	-1.04571e-20	0.218966	0.686146	0.119984	0.600207	-4.80057	0.00497648
-0.0989839	0.761074	0.955276	0.00273254	-0.0814087	0.49792	-0.120044	0.600581	-4.801	0.00995308
-0.13316	0.64879	0.717394	-0.0778925	-0.306645	0.557228	-0.360093	0.601244	-4.80155	0.0165887
-0.554329	0.715691	0.319946	2.2241	-0.423231	0.382203	-0.60017	0.602281	-4.80221	0.0248832
-0.591725	0.725188	-0.86857	1.71335	-0.920801	0.498185	-0.840279	0.603774	-4.80296	0.0348368
-1.05536	0.814899	-0.722465	-2.61159	-0.999175	0.569138	-1.08042	0.605806	-4.8038	0.0464493
-1.0832	0.679195	-0.524533	-2.6702	-1.21709	0.564086	-1.32061	0.608459	-4.80472	0.0597206
-1.29969	0.539652	-2.23527	0.553805	-1.31575	0.565548	-1.56084	0.611818	-4.8057	0.0746505
-1.41454	0.573634	-2.23143	0.630386	-1.46626	0.627215	-1.80112	0.615965	-4.80673	0.0912385
-1.65418	0.608138	-3.08329	1.12488	-1.76309	0.586975	-2.04145	0.620982	-4.80778	0.109484
-1.83876	0.691371	-3.11853	1.41168	-2.28461	0.787442	-2.28182	0.626953	-4.80884	0.129387
-2.10899	0.557938	-3.74987	-0.333442	-2.50204	0.4664	-2.52225	0.63396	-4.80989	0.150946
-2.33815	0.606123	-3.91811	-0.0854394	-2.7473	0.847233	-2.76273	0.642086	-4.81089	0.174159
-2.60374	0.661303	-4.14891	0.268354	-3.65705	0.865703	-3.00325	0.651414	-4.81184	0.199026
-2.86462	0.718178	-4.27165	0.433955	-3.30883	0.881059	-3.24381	0.662026	-4.8127	0.225545
-3.13029	0.662412	-4.41695	-0.0659774	-3.47146	0.613185	-3.48441	0.674004	-4.81344	0.253712
-3.40536	0.582778	-4.47484	-0.646729	-3.76347	0.400296	-3.72504	0.687432	-4.81403	0.283526
-3.65332	0.666275	-4.58226	-0.0746323	-3.79537	0.758312	-3.9657	0.702391	-4.81445	0.314984
-3.95961	0.591203	-4.68757	-0.553112	-4.43196	0.438228	-4.20636	0.718963	-4.81465	0.348081
-4.21322	0.59128	-4.73614	-0.481387	-4.35973	0.613548	-4.44703	0.73723	-4.81461	0.382812
-4.4838	0.656356	-4.7981	-0.171293	-4.72477	0.881914	-4.68769	0.757274	-4.81428	0.419174
-4.72079	0.741229	-4.79372	0.219435	-4.42669	0.850619	-4.92832	0.779176	-4.81363	0.45716
-5.00709	0.734957	-4.86258	0.131501	-5.28802	0.714213	-5.1689	0.803017	-4.81263	0.496763
-5.27815	0.703872	-4.91786	-0.0197088	-5.47463	0.612257	-5.40943	0.828877	-4.81122	0.537976
-5.52331	0.816327	-4.89561	0.387929	-5.5629	1.05194	-5.64986	0.856837	-4.80937	0.580791
-5.76391	0.920062	-4.83926	0.693953	-6.29502	1.26514	-5.8902	0.886977	-4.80703	0.625197
-5.98902	0.935161	-4.82455	0.66697	-5.88309	0.886	-6.1304	0.919375	-4.80415	0.671184
-6.23878	0.970318	-4.85102	0.706623	-5.95255	0.944273	-6.37044	0.954111	-4.8007	0.718741
-6.52245	0.959339	-4.91089	0.581263	-6.75307	0.884443	-6.61028	0.991262	-4.79662	0.767854
-6.76699	0.987295	-4.91407	0.600062	-6.62052	0.961843	-6.84991	1.03091	-4.79187	0.818509
-7.02001	1.0861	-4.89591	0.821192	-7.10876	1.23352	-7.08928	1.07312	-4.78638	0.87069
-7.27654	1.07554	-4.91745	0.702563	-7.52937	0.8358	-7.32835	1.11798	-4.78012	0.92438
-7.52648	1.12285	-4.91521	0.758601	-7.56319	1.15044	-7.56709	1.16556	-4.77304	0.979561
-7.75043	1.1635	-4.88488	0.795048	-7.25187	1.11533	-7.80545	1.21593	-4.76506	1.03621
-7.99589	1.19573	-4.88473	0.800601	-8.00209	1.17936	-8.04339	1.26918	-4.75615	1.09431
-8.22928	1.30596	-4.84941	1.00822	-8.07459	1.74513	-8.28085	1.32536	-4.74625	1.15383
-8.4729	1.33976	-4.85	1.00117	-8.47207	1.30248	-8.51779	1.38455	-4.7353	1.21475
-8.69767	1.38634	-4.78759	1.0261	-8.95167	1.35495	-8.75416	1.44681	-4.72324	1.27704
-8.93685	1.48261	-4.7637	1.16606	-8.97275	1.58275	-8.98989	1.51223	-4.71002	1.34067
-9.1708	1.51173	-4.77494	1.13552	-8.71353	1.22502	-9.22493	1.58085	-4.69558	1.40561
-9.43284	1.52797	-4.80545	1.06994	-9.55672	1.45188	-9.45921	1.65276	-4.67987	1.47183
-9.6805	1.53769	-4.82979	0.99459	-9.55852	1.10142	-9.69268	1.728	-4.66282	1.53929
-9.94865	1.66485	-4.82915	1.19092	-10.1925	1.86579	-9.92526	1.80665	-4.64437	1.60795
-10.1729	1.79221	-4.76894	1.38183	-10.0357	2.49884	-10.1569	1.88875	-4.62448	1.67776
-10.3807	1.88838	-4.71261	1.48832	-10.2047	1.92272	-10.3875	1.97438	-4.60307	1.7487
-10.6306	1.9743	-4.72832	1.55199	-10.746	2.16649	-10.6169	2.06357	-4.58009	1.82071
-10.8663	2.03049	-4.7235	1.54755	-10.8445	1.97723	-10.8452	2.15639	-4.55549	1.89375
-11.0926	2.12698	-4.69495	1.63242	-10.8211	2.33578	-11.0722	2.25288	-4.52921	1.96776
-11.2834	2.27815	-4.59552	1.83725	-11.0683	2.3968	-11.2979	2.35309	-4.50118	2.04269
